Archivo,Distrito,Mes,H01_02,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H01_11,H01_12,H01_13,H01_14,H01_15,H01_16,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10,H02_11,H02_12,H02_13,H02_14,H02_15,H02_16,H02_17,H02_18,H02_19,H02_20,H02_21,H02_22,H02_23,H02_24,H02_25,H02_26,H03_01,H03_02,H03_03,H03_04,H03_05,H03_06,H03_07,H03_08,H03_09,H03_10,H03_11,H03_12,H03_13,H03_14,H03_15,H03_16,H03_17,H03_18,H03_19,H03_20,H03_21,H03_22,H04_01,H04_02,H04_03,H04_04,H04_05,H04_06,H04_07,H04_08,H04_09,H04_10,H04_11,H04_12,H05_01,H05_02,H05_03,H05_04,H05_05,H05_06,H05_07,H05_08,H05_09,H05_10,H05_11,H05_12,H05_13,H05_14,H05_15,H05_16,H05_17,H05_18,H05_19,H05_20,H05_21,H05_22,H05_23,H05_24,H05_25,H05_26,H05_27,H05_28,H05_29,H05_30,H05_31,H05_32,H05_33,H05_34,H05_35,H05_36,H05_37,H05_38,H05_39,H05_40,H05_510_2023,H05_51d_2023,H05_52d_2023,H05_53d_2023,H05_54d_2023,H05_55d_2023,H05_56d_2023,H05_57d_2023,H05_58d_2023,H05_59d_2023,H06_01,H06_02,H06_03,H06_04,H06_05,H06_06,H06_07,H06_08,H06_09,H06_10,H06_100,H06_101,H06_102,H06_103,H06_104,H06_105,H06_106,H06_107,H06_108,H06_109,H06_11,H06_110,H06_111,H06_112,H06_113,H06_114,H06_115,H06_116,H06_117,H06_12,H06_13,H06_14,H06_15,H06_16,H06_17,H06_18,H06_19,H06_20,H06_21,H06_22,H06_23,H06_24,H06_25,H06_26,H06_27,H06_28,H06_29,H06_30,H06_31,H06_32,H06_33,H06_34,H06_35,H06_36,H06_37,H06_38,H06_39,H06_40,H06_41,H06_42,H06_43,H06_44,H06_45,H06_46,H06_47,H06_48,H06_49,H06_50,H06_51,H06_52,H06_53,H06_54,H06_55,H06_56,H06_57,H06_58,H06_59,H06_60,H06_61,H06_62,H06_63,H06_64,H06_65,H06_66,H06_67,H06_68,H06_69,H06_70,H06_71,H06_72,H06_73,H06_74,H06_75,H06_76,H06_77,H06_78,H06_79,H06_80,H06_81,H06_82,H06_83,H06_84,H06_85,H06_86,H06_87,H06_88,H06_89,H06_90,H06_91,H06_92,H06_93,H06_94,H06_95,H06_96,H06_97,H06_98,H06_99,H07_01,H07_02,H07_03,H07_04,H07_05,H07_06,H07_07,H07_08,H07_09,H07_10,H07_11,H07_12,H07_13,H07_14,H07_15,H07_16,H07_17,H07_18,H07_19,H07_20,H07_21,H07_22,H07_23,H07_24,H07_25,H07_26,H07_27,H07_28,H07_29,H07_30,H07_31,H07_32,H07_33,H07_34,H07_35,H07_36,H07_37,H07_38,H07_39,H07_40,H07_41,H07_42,H07_43,H07_44,H07_45,H07_46,H07_47,H07_48,H07_49,H07_50,H07_51,H07_52,H07_53,H07_54,H07_55,H07_56,H07_57,H07_58,H07_59,H07_60,H07_61,H07_62,H07_63,H07_64,H07_65,H07_66,H07_67,H07_68,H07_69,H07_70,H07_71,H07_72,H07_73,H07_74,H07_75,H07_76,H07_77,H07_78,H07_79,H07_80,H07_81,H07_82,H07_83,H07_84,H07_85,H07_86,H07_87,H07_88,H07_89,H07_90,H07_91,H07_92,H07_93,H07_94,H07_95,H07_96,H07_97,H08_01,H08_02,H08_03,H08_04,H08_05,H08_06,H08_07,H08_08,H08_09,H08_10,H08_11,H08_12,H08_13,H08_14,H08_15,H08_16,H08_17,H08_18,H08_19,H08_20,H08_21,H08_22,H08_23,H08_24,H08_25,H08_26,H08_27,H08_28,H08_29,H08_30,H08_31,H08_32,H08_33,H08_34,H08_35,H08_36,H08_37,H08_38,H08_39,H08_40,H08_41,H08_42,H08_43,H08_44,H08_45,H08_46,H08_47,H08_48,H08_49,H08_50,H08_51,H08_52,H08_53,H08_54,H08_81_2023,H08_821a_2023,H08_821b_2023,H08_821c_2023,H08_822a_2023,H08_822b_2023,H08_822c_2023,H08_822d_2023,H08_822e_2023,H08_823a_2023,H08_823b_2023,H08_83a_2023,H09_01,H09_02,H09_03,H09_04,H09_05,H09_06,H09_07,H09_08,H09_09,H09_10,H09_11,H09_12,H09_13,H09_14,H09_15,H09_16,H09_17,H09_18,H09_19,H09_20,H09_21,H09_22,H09_23,H09_24,H09_25,H09_26,H09_27,H09_28,H09_29,H09_30,H09_31,H09_32,H09_33,H09_34,H09_35,H09_36,H09_37,H09_38,H09_39,H09_40,H09_41,H09_42,H09_43,H09_44,H09_45,H09_46,H09_47,H09_48,H11_01,H11_02,H11_03,H11_04,H11_05,H11_06,H11_07,H11_08,Nombre.del.órgano.jurisdiccional,Domicilio,Clave.del.órgano.jurisdiccional,Sede,Entidad.federativa,Clave.del.área.geoestadística.estatal.(AGEE),Municipio/.demarcación.territorial,Clave.del.área.geoestadística.municipal.(AGEM),Periodo
Archivo_EST-01.xls,1,Enero,,1,113,0,0,0,0,113,0,113,0,0,0,0,,,,,,,,,,,,,,,,,5,,15,,6,,,,5,,,,76,,,,,,,,,,6,,,,,,,,,,323,118,82,0,442,453,1,6,83,122,99,0,2,2,7,5,2,2,0,0,0,0,1,2,13,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,2,0,41,0,0,3,0,0,36,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,1,11,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,2,43,1,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,5,5,95,7,6,19,133,0,0,0,151,0,0,0,0,1,0,2,13,1,1,3,8,4,1,1,1,17,6,8,3,1,0,1,1,0,1,0,0,2,0,0,0,0,0,0,0,3,3,0,505,0,37,76,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,5,,3,3,2,,,,,1,5,,,,,,,,,,,,,1,,,,,,,,,,0,2,0,545,0,0,0,0,Tribunal Unitario Agrario Distrito 1 ,"Vialidad Arroyo de la Plata 245, Colonia Centro, Guadalupe, Zacatecas, C.P. 98600",132017,Guadalupe ,Zacatecas,32,Guadalupe,017,Enero/2023
Archivo_EST-02.xls,2,Enero,,1,41,10,0,0,1,40,0,33,4,14,0,0,,,,,,,,,,,,,,,22,,1,,2,2,,,,,,1,,,6,1,,,,,,,,,2,,,,,,,,0,0,172,42,0,2,543,368,3,10,82,86,79,0,12,4,10,3,0,0,0,0,0,0,9,5,9,1,0,0,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,3,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,1,,,,,,,,,3,,,1,,,,,,1,,1,1,,1,,,,1,,,,,,,1,1,3,,,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,1,6,19,55,15,53,127,1,0,0,15,0,0,0,6,7,3,6,1,10,0,1,1,19,0,0,0,32,3,6,2,16,1,1,2,6,0,0,0,4,0,0,0,15,1,2,3,1,0,1,434,0,27,6,8,0,0,0,0,0,0,0,0,,,,,,,,,,2,,,1,5,7,19,,4,,13,2,3,,,1,6,,,2,2,,1,1,,,,,,2,3,,,,,,,,,101,0,0,0,1,33,0,2,Tribunal Unitario Agrario Distrito 2 ,"Calle México 114, Colonia Centro, Mexicali, Baja California, C.P. 21100",202002,Mexicali,Baja California,02,Mexicali,002,Enero/2023
Archivo_EST-03.xls,3,Enero,,,57,8,0,0,,57,0,63,,2,0,0,,,,,,,,,,,,,,,1,,6,,5,,50,,1,,,,,,,,,,,,,,,,,,,,,,,,0,0,215,4,39,4,471,174,7,0,151,20,120,8,2,,3,1,0,0,0,0,0,,0,2,78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,7,,,,,,,2,,12,,,,,,,4,,60,,,,,,2,8,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,3,3,82,23,11,19,278,0,0,0,5,0,0,0,0,3,0,8,34,1,1,1,9,6,1,1,3,35,7,12,15,19,0,0,24,3,0,0,4,3,0,1,3,9,2,0,0,1,1,0,585,2,53,0,2,0,0,0,0,0,0,0,0,,,,,1,,,,,1,1,,,1,4,2,6,7,7,10,34,8,1,2,1,1,,,,3,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,Tribunal Unitario Agrario Distrito 3 ,"Calle 8va. Poniente Norte 164, Zona Centro, Tuxtla Gutiérrez, Chiapas, C.P. 29000",307101,Tuxtla Gutiérrez,Chiapas,07,Tuxtla Gutiérrez,101,Enero/2023
Archivo_EST-04.xls,4,Enero,,1,95,0,0,0,0,95,0,95,0,0,0,0,,,,,,,,,,,,,,,3,,7,,4,,58,,,,2,,,,18,,,,,,,,,,3,,,,,,,,0,0,301,95,284,5,667,394,3,0,89,37,170,0,0,0,2,2,2,0,0,0,0,0,2,1,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,2,0,0,2,0,0,39,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,2,,,,,,,,,2,,,,,,,,,42,,,,,,3,2,,,,,,,,,,,,,,,,2,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,4,2,2,89,24,10,28,363,0,0,1,21,0,0,0,0,1,1,0,2,7,1,3,2,2,0,0,0,10,2,4,3,17,0,0,1,6,0,0,1,7,0,0,1,0,0,0,0,0,0,0,612,1,76,18,0,0,0,0,0,0,0,0,0,,1,,1,,,,,,,,,,,3,2,19,10,15,6,55,21,,,,,,,8,,,,,,,,,,2,1,,,,,,,,,,,,,0,0,0,0,Tribunal Unitario Agrario Distrito 4 ,"Avenida 4a. Sur 37, Colonia Centro, Tapachula, Chiapas, C.P. 30700",407089,Tapachula ,Chiapas,07,Tapachula ,089,Enero/2023
Archivo_EST-05.xls,5,Enero,,1,116,42,0,0,0,116,0,136,0,22,0,0,1,,,,,,1,,1,,,,,,,,8,,3,,2,,,,9,,,,111,,,,,,,,,,,,,,,,,,0,0,447,12,16,1,622,391,4,7,165,100,120,0,3,3,0,0,3,2,0,0,0,0,10,7,5,1,0,0,4,0,0,0,1,0,0,0,0,1,2,1,1,1,2,0,1,9,0,0,4,0,0,21,36,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,7,,,2,,,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,,,2,,,1,,,,,,1,,,,,,,,,5,1,,,,2,1,1,,3,,,,,1,,1,,3,,,,,,1,1,,,,,,,,,,,,,,,3,3,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,31,2,7,41,22,27,89,149,0,0,0,27,0,0,0,16,7,0,10,5,4,6,9,8,42,3,7,1,55,14,20,3,6,1,2,0,4,1,0,0,10,0,0,0,16,0,0,1,4,7,2,628,36,14,60,6,0,0,0,0,0,0,0,0,,1,,,,,2,,1,,,,1,2,2,,6,,8,1,,,,,5,4,,,,,,,,,,,,,1,1,,,,,,,,,94,67,1,1,0,2,2,0,Tribunal Unitario Agrario Distrito 5 ,"Calle George Washington Nº 203, Parque Industrial Las Américas, C.P. 31114, Chihuahua, Chihuahua",508019,Chihuahua,Chihuahua,08,Chihuahua,019,Enero/2023
Archivo_EST-06.xls,6,Enero,,1,69,160,,,,69,0,49,,70,74,36,,,,,,,,,,,,,,,2,,1,,,,26,,,,10,,,,10,,,,,,,,,,,,,,,,,,0,0,452,5,2,2,800,785,5,22,266,57,138,2,0,0,7,7,16,0,,,,,13,5,32,4,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1,8,2,10,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,1,,1,,,,,,,,,,,,,,,,,4,,2,,,,,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,,,,,,,5,,9,1,,,,,,2,,32,,,,,,,3,,,,,,,,,,,,,,,1,,9,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,13,6,9,86,283,85,137,312,1,0,2,48,0,0,3,53,19,3,4,15,7,3,1,1,6,0,1,0,53,8,3,1,43,0,1,0,23,0,0,0,15,0,0,0,37,0,1,1,0,0,0,1200,0,48,7,14,0,0,0,0,0,0,0,0,,,,,,,3,2,,,,,,,1,,29,,,1,22,1,,0,18,4,,,,,,,,,,,,,1,5,,,,,,,,,,,,,,7,7,36,Tribunal Unitario Agrario Distrito 6 ,"Prolongación Colón 50, Colonia Los Ángeles, Torreón, Coahuila de Zaragoza, C.P. 27140",605035,Torreón ,Coahuila de Zaragoza,05,Torreón ,035,Enero/2023
Archivo_EST-07.xls,7,Enero,,1,122,37,0,0,0,122,0,114,6,39,0,0,,,2,,,,,,,,,,1,,7,,3,1,18,1,7,,,,1,4,,,75,,,,,,,,,,,,,,,,,,,,459,67,163,7,867,189,1,0,80,61,157,0,3,0,5,0,0,0,0,0,0,1,1,3,4,1,,,,,,,,,,,,,2,2,,,,3,1,8,,,,,,29,28,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,2,,3,,,,,,,3,,,1,,,,4,,,,,,,,,,,,,,,,,1,,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,6,4,5,71,37,25,64,164,0,0,0,19,0,0,0,22,2,0,2,8,2,1,4,6,7,0,0,1,4,2,6,0,22,3,3,0,2,1,1,0,13,0,0,0,11,2,0,0,0,1,0,515,28,30,47,17,0,0,0,0,0,0,0,0,,3,,1,,2,,,,2,,,3,1,1,1,4,9,8,6,8,5,,,8,11,,,2,,,,,,,,,,1,,,,,,,,,,,,1,3,0,0,0,0,Tribunal Unitario Agrario Distrito 7,"Calle de los Sauces 207, Fraccionamiento Villa Blanca, Mezquital, Durango, C.P. 34208",710005,Durango ,Durango ,10,Durango ,005,Enero/2023
Archivo_EST-08.xls,8,Enero,,1,98,,,,,98,,98,,,,0,,,,,1,,,,,,,,,,,,,,11,,57,,,,5,,,,,,,,,,,,,,24,,,,,,,,0,0,385,340,380,0,1180,449,17,0,279,255,174,,163,102,13,,,,,,,,0,15,67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,7,4,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,5,4,43,,,,,,,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,1,21,79,9,10,397,478,0,0,0,0,0,0,0,0,0,0,16,67,1,0,2,5,4,0,9,0,36,0,31,1,2,0,13,0,10,0,13,0,9,0,7,0,0,0,0,0,0,0,0,1218,0,98,0,0,0,0,0,0,0,0,0,0,,,,,,3,,,,9,,,,,,,,,3,22,1,15,,,,10,,,,,,,,,,,,,4,8,,,,,,,,,,,,,,,,,Tribunal Unitario Agrario Distrito 8 ,"Av. Insurgentes Sur Nº 838, Piso 1, Col. Del Valle Centro, Benito Juárez, Cd. De México, C.P. 03100",809014,Ciudad de México,Ciudad de México,09,Benito Juárez,014,Enero/2023
Archivo_EST-09.xlsx,9,Enero,,1,102,109,,,,102,,100,,91,,20,,,,,,,,,,,,,,,13,,19,,10,,43,,,,12,,3,,,,,,,,,,,,,,,,,,,,0,0,1613,2,1,2,1327,328,15,2,97,85,551,,20,,25,,,,,,,,20,6,42,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,13,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,5,,,,,,,1,,15,1,,,,1,,,,,,,,,,1,,,32,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0,1,3,9,0,306,98,166,485,1,0,0,7,0,0,0,82,25,5,4,31,9,3,10,20,2,0,0,1,22,10,10,9,3,1,1,0,44,10,10,9,7,0,0,0,33,0,0,0,1,0,0,1493,0,91,2,9,0,0,0,0,0,0,0,0,,1,,,,,,,,4,,,,3,,15,3,58,,59,12,5,,,,35,,,,8,,,,,,,,,,37,,,,,,,,,,,,,,,,,Tribunal Unitario Agrario Distrito 9 ,"Av. Baja Velocidad Nº 543 Oriente Lote 27, Manzana 26, Colonia Pilares, Metepec, Estado de México, C.P. 52179",915054,Metepec,México,15,Metepec,054,Enero/2023
Archivo_EST-10.xls,10,Enero,,1,82,200,,,,82,,85,,163,,34,,,,,,,,,,,,,,,,,5,,,,50,,,,2,,,,23,,,,,,,,,,5,,,,,,,,0,0,983,1258,83,3,517,441,11,46,89,102,115,50,25,20,6,0,0,0,0,0,0,0,29,1,9,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3,2,1,0,6,0,6,0,1,9,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,4,1,,,,1,,,,9,2,,,,,,,1,,,,,,,,,,21,,,,,,4,2,4,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,22,5,5,53,212,54,116,336,0,0,9,61,0,0,0,138,11,3,6,29,14,8,6,17,6,4,0,0,102,5,12,3,20,0,1,2,30,5,5,0,10,0,0,0,0,0,0,0,2,0,0,1274,5,18,6,25,0,0,0,0,0,0,0,0,,,,,,,,2,3,6,,,,1,11,22,22,32,8,15,18,2,4,2,,11,1,,15,,,,,,,,,,1,16,,,,,,,,,0,0,0,0,0,0,0,0,Tribunal Unitario Agrario Distrito 10 ,"Calle Aculco 39 Pisos 1, 2 y 3, Colonia La Romana, Tlalnepantla, México, C.P. 54030",1015104,Tlalnepantla,México,15,Tlalnepantla de Baz,104,Enero/2023
