Archivo,Distrito,Mes,H01_02,H01_04,H01_05,H01_06,H01_07,H01_08,H01_09,H01_10,H01_11,H01_12,H01_13,H01_14,H01_15,H01_16,H02_01,H02_02,H02_03,H02_04,H02_05,H02_06,H02_07,H02_08,H02_09,H02_10,H02_11,H02_12,H02_13,H02_14,H02_15,H02_16,H02_17,H02_18,H02_19,H02_20,H02_21,H02_22,H02_23,H02_24,H02_25,H02_26,H03_01,H03_02,H03_03,H03_04,H03_05,H03_06,H03_07,H03_08,H03_09,H03_10,H03_11,H03_12,H03_13,H03_14,H03_15,H03_16,H03_17,H03_18,H03_19,H03_20,H03_21,H03_22,H04_01,H04_02,H04_03,H04_04,H04_05,H04_06,H04_07,H04_08,H04_09,H04_10,H04_11,H04_12,H05_01,H05_02,H05_03,H05_04,H05_05,H05_06,H05_07,H05_08,H05_09,H05_10,H05_11,H05_12,H05_13,H05_14,H05_15,H05_16,H05_17,H05_18,H05_19,H05_20,H05_21,H05_22,H05_23,H05_24,H05_25,H05_26,H05_27,H05_28,H05_29,H05_30,H05_31,H05_32,H05_33,H05_34,H05_35,H05_36,H05_37,H05_38,H05_39,H05_40,H05_510_2023,H05_51d_2023,H05_52d_2023,H05_53d_2023,H05_54d_2023,H05_55d_2023,H05_56d_2023,H05_57d_2023,H05_58d_2023,H05_59d_2023,H06_01,H06_02,H06_03,H06_04,H06_05,H06_06,H06_07,H06_08,H06_09,H06_10,H06_100,H06_101,H06_102,H06_103,H06_104,H06_105,H06_106,H06_107,H06_108,H06_109,H06_11,H06_110,H06_111,H06_112,H06_113,H06_114,H06_115,H06_116,H06_117,H06_12,H06_13,H06_14,H06_15,H06_16,H06_17,H06_18,H06_19,H06_20,H06_21,H06_22,H06_23,H06_24,H06_25,H06_26,H06_27,H06_28,H06_29,H06_30,H06_31,H06_32,H06_33,H06_34,H06_35,H06_36,H06_37,H06_38,H06_39,H06_40,H06_41,H06_42,H06_43,H06_44,H06_45,H06_46,H06_47,H06_48,H06_49,H06_50,H06_51,H06_52,H06_53,H06_54,H06_55,H06_56,H06_57,H06_58,H06_59,H06_60,H06_61,H06_62,H06_63,H06_64,H06_65,H06_66,H06_67,H06_68,H06_69,H06_70,H06_71,H06_72,H06_73,H06_74,H06_75,H06_76,H06_77,H06_78,H06_79,H06_80,H06_81,H06_82,H06_83,H06_84,H06_85,H06_86,H06_87,H06_88,H06_89,H06_90,H06_91,H06_92,H06_93,H06_94,H06_95,H06_96,H06_97,H06_98,H06_99,H07_01,H07_02,H07_03,H07_04,H07_05,H07_06,H07_07,H07_08,H07_09,H07_10,H07_11,H07_12,H07_13,H07_14,H07_15,H07_16,H07_17,H07_18,H07_19,H07_20,H07_21,H07_22,H07_23,H07_24,H07_25,H07_26,H07_27,H07_28,H07_29,H07_30,H07_31,H07_32,H07_33,H07_34,H07_35,H07_36,H07_37,H07_38,H07_39,H07_40,H07_41,H07_42,H07_43,H07_44,H07_45,H07_46,H07_47,H07_48,H07_49,H07_50,H07_51,H07_52,H07_53,H07_54,H07_55,H07_56,H07_57,H07_58,H07_59,H07_60,H07_61,H07_62,H07_63,H07_64,H07_65,H07_66,H07_67,H07_68,H07_69,H07_70,H07_71,H07_72,H07_73,H07_74,H07_75,H07_76,H07_77,H07_78,H07_79,H07_80,H07_81,H07_82,H07_83,H07_84,H07_85,H07_86,H07_87,H07_88,H07_89,H07_90,H07_91,H07_92,H07_93,H07_94,H07_95,H07_96,H07_97,H08_01,H08_02,H08_03,H08_04,H08_05,H08_06,H08_07,H08_08,H08_09,H08_10,H08_11,H08_12,H08_13,H08_14,H08_15,H08_16,H08_17,H08_18,H08_19,H08_20,H08_21,H08_22,H08_23,H08_24,H08_25,H08_26,H08_27,H08_28,H08_29,H08_30,H08_31,H08_32,H08_33,H08_34,H08_35,H08_36,H08_37,H08_38,H08_39,H08_40,H08_41,H08_42,H08_43,H08_44,H08_45,H08_46,H08_47,H08_48,H08_49,H08_50,H08_51,H08_52,H08_53,H08_54,H08_81_2023,H08_821a_2023,H08_821b_2023,H08_821c_2023,H08_822a_2023,H08_822b_2023,H08_822c_2023,H08_822d_2023,H08_822e_2023,H08_823a_2023,H08_823b_2023,H08_83a_2023,H09_01,H09_02,H09_03,H09_04,H09_05,H09_06,H09_07,H09_08,H09_09,H09_10,H09_11,H09_12,H09_13,H09_14,H09_15,H09_16,H09_17,H09_18,H09_19,H09_20,H09_21,H09_22,H09_23,H09_24,H09_25,H09_26,H09_27,H09_28,H09_29,H09_30,H09_31,H09_32,H09_33,H09_34,H09_35,H09_36,H09_37,H09_38,H09_39,H09_40,H09_41,H09_42,H09_43,H09_44,H09_45,H09_46,H09_47,H09_48,H11_01,H11_02,H11_03,H11_04,H11_05,H11_06,H11_07,H11_08
Archivo_EST-01_FEB.xls,1,FEBRERO,,114,178,0,0,0,0,65,0,65,0,0,0,0,,,,,,,,,,,,,,,,,7,,7,,3,,,,4,,,,44,,,,,,,,,,,,,,,,,,,,123,189,152,2,328,412,3,0,81,55,133,0,0,0,2,2,0,0,0,0,0,0,1,2,15,1,1,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,2,0,2,26,0,0,1,0,0,37,18,3,0,0,0,0,0,1,0,1,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,1,,,,,,,,1,2,,15,,,,,,1,2,1,,,,,,,,5,,,,,,,,,,,,,,1,13,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,3,88,6,6,15,102,0,0,0,101,0,0,0,0,1,1,3,13,1,1,3,1,3,1,1,1,18,5,7,3,1,0,2,1,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,451,20,54,101,0,3,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,3,2,3,2,2,,,,,1,6,,,,,,,,,,,,,5,,,,,,,,,,0,2,0,545,0,0,0,0
Archivo_EST-01A.xls,1A,FEBRERO,,29,38,0,0,0,0,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,28,23,0,241,150,4,4,64,66,82,0,1,1,1,0,0,0,0,0,0,0,1,8,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,5,9,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,17,1,7,28,105,0,0,1,9,0,0,0,0,0,1,6,1,0,0,5,2,1,0,1,0,13,3,8,1,0,0,1,0,2,4,0,0,0,0,0,0,0,1,0,0,0,0,0,227,11,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,1,0,0,6,13,1,4,0,0,4,12,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,351,5,21,0,0,0,0
Archivo_EST-02.xls,2,Febrero,,42,56,14,0,0,0,15,0,15,6,8,0,0,,,,,,,,,,,,,,,4,1,,,2,3,,,,,1,1,,,6,1,,,,,,,,,2,,,,,,,,0,0,230,20,0,3,432,415,2,7,102,89,107,0,7,11,6,10,0,0,0,0,0,0,5,1,21,1,0,1,0,0,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,3,0,17,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,22,,1,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,,2,1,,,,,,,,,,2,,,,,,,,3,,,,1,,,,,,,,,,,,,,,1,,,,,1,3,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,1,12,0,0,26,50,15,52,104,1,0,0,12,0,0,0,1,6,0,4,3,7,2,3,5,21,0,0,0,32,3,6,2,15,2,2,1,4,0,0,0,2,0,0,0,17,1,2,1,1,0,1,409,2,18,12,7,17,0,0,0,0,0,0,0,,,,,,,,,,2,,,1,4,,23,1,4,,11,2,4,,,,7,,,,3,,,,1,,,,,,3,,,,,,,,,118,0,0,0,0,18,0,2
Archivo_EST-03.xls,3,FEBRERO,,58,114,2,0,0,0,57,0,56,0,3,0,0,,,,,,,,,,,,,,,1,,3,,1,,46,,3,,,,,,2,,,,,,,,,,,,,,,,,,,,148,4,23,3,374,42,4,5,70,44,114,1,0,0,2,1,0,0,0,0,0,0,0,1,15,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,1,1,,,,,,,,22,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0,1,0,1,19,23,11,19,271,0,0,0,2,0,0,0,0,1,0,6,15,2,1,3,17,6,1,1,3,34,6,10,20,20,0,0,21,3,1,1,4,3,0,1,3,9,2,0,0,0,0,0,608,13,94,2,3,0,0,0,0,0,0,0,0,,,,,,1,,,1,,,1,1,1,7,4,12,13,8,15,26,44,,8,,3,,,,,,,,,,,,,1,,,,,,,,,,0,0,0,0,0,0,0,0
Archivo_EST-04.xls,4,FEBRERO,,96,171,0,0,0,0,76,0,76,0,0,0,0,,,,,,,,,1,,,,,,2,,4,,3,,41,,,,3,,,,20,,,,,,,,,,2,,,,,,,,0,0,315,87,279,6,525,426,6,0,192,44,122,0,1,0,4,3,0,0,0,0,0,0,2,8,49,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,7,0,0,1,0,0,5,13,5,0,0,0,0,0,2,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,4,1,,,,,,5,,11,,,,,,,2,,45,,,,,,2,2,,,,,,,,,,,,,,1,,1,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,0,4,2,8,61,21,9,19,304,0,0,1,17,0,0,0,0,0,1,1,4,4,0,3,1,2,0,0,1,14,2,4,4,15,0,0,1,7,0,0,1,7,0,0,0,0,0,0,0,0,0,0,592,21,126,23,0,0,0,0,0,0,0,0,0,,,,,,,,,,1,,,,,0,5,17,20,8,15,34,50,,,1,3,,,11,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0
Archivo_EST-05.xls,5,FEBRERO,,117,257,22,0,0,1,140,0,90,0,17,0,56,,,,,,,,,,,,,1,,,,2,,2,,,,,,6,,,,74,,,,,,,,,,5,,,,,,,,0,0,415,9,14,6,502,515,1,4,239,66,143,0,6,3,1,0,0,1,0,0,0,0,0,5,4,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,1,0,1,6,0,0,0,0,0,4,42,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,3,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2,,,,,1,,1,,2,1,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,2,46,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6,1,5,16,22,27,83,141,0,0,0,21,0,0,0,12,1,0,4,3,7,3,14,8,41,4,7,1,50,13,20,6,7,2,4,1,5,2,0,0,11,0,0,0,16,0,0,2,7,10,0,697,44,32,140,5,0,0,0,0,0,0,0,0,,1,,,,,1,1,1,1,,,,2,1,1,5,1,1,4,1,,,,4,4,,,,,,,,,,,,,,1,,,,,,,,,94,67,1,1,3,2,1,0
Archivo_EST-06.xls,6,FEBRERO,,70,124,180,,,,55,0,49,,72,74,40,,,,,,,1,,,,,,,,1,,,,1,,29,,,,2,,,,14,,,,,,,,,,1,,,,,,,,0,0,438,5,2,0,636,796,5,19,300,115,143,0,2,2,16,9,16,0,,,,,20,1,31,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,,,,,,,,2,1,,,,,,,,30,,,,,,1,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,4,0,3,42,266,84,133,263,1,0,2,43,0,0,3,48,24,3,6,33,8,2,0,0,6,0,1,0,60,10,3,1,45,0,1,0,21,0,0,0,15,0,0,0,36,0,1,1,1,0,0,1206,0,86,17,21,0,0,0,0,0,0,0,0,,,,,,,0,1,2,,,,,,,1,1,8,,6,1,2,,0,5,29,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,7,7,36
Archivo_EST-07.xls,7,FEBRERO,,123,177,39,0,0,0,55,0,62,2,30,0,0,,,,,,,,,,,,,3,,6,1,1,,9,,3,,,,,,,,40,1,,,,,,,,,,,,,,,,,,,340,15,216,8,694,200,0,0,134,146,148,0,1,3,0,2,0,0,0,0,0,1,6,2,9,,,,,,,1,1,1,,,,,2,2,,,1,1,,4,,,,,,6,45,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,3,,,,,,1,,,2,,,,,1,,2,,7,,,1,,3,,,,,,,,,,,,,,,,,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0,3,1,4,32,31,25,60,142,0,0,0,12,0,0,0,17,1,0,1,5,6,0,4,9,6,0,0,1,4,2,5,1,24,4,5,1,1,0,1,0,13,0,0,0,13,2,0,1,0,0,0,485,45,43,42,13,0,6,0,0,0,0,0,0,1,3,2,1,,2,,,2,1,,,2,3,4,2,6,9,9,9,4,6,,,5,13,,,1,,,,,,,,,,,1,,,,,,,,,,,1,3,0,0,0,0
Archivo_EST-08.xls,8,FEBRERO,,99,158,,,,,60,,60,,,,0,,,,,2,,,,,,,,,,,,,,23,,15,,,,6,,,,,,,,,,,,,,14,,,,,,,,0,0,322,530,480,4,1279,447,8,0,194,231,190,,150,110,15,,,,,,,,0,11,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,19,0,0,1,0,0,0,0,21,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,,,3,1,41,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,,,,10,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,,1,70,9,9,405,439,0,0,0,0,0,0,0,0,0,0,13,30,0,0,1,5,4,0,7,0,34,0,26,7,3,1,17,0,10,0,11,0,9,0,7,0,0,0,0,0,0,0,0,1204,1,136,0,0,21,0,0,0,0,0,0,0,,,,,1,1,,,3,2,,,,,,,,,15,13,8,1,,,8,4,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,
Archivo_EST-09.xlsx,9,Febrero,,103,188,111,,,,86,,80,13,60,,44,1,,,,,,,,,,,,,,8,2,4,7,8,1,53,2,,,4,1,,,1,,,,,,,,,,1,,,,,,,,0,0,1488,3,9,2,693,255,14,,88,97,188,1,12,10,11,19,,,,,,,5,1,48,4,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,2,2,0,5,0,0,1,0,0,3,0,13,0,0,0,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,4,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,1,,3,2,1,1,,,1,3,1,3,1,,,,,1,1,,52,,,,,,1,1,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,3,0,0,116,239,112,181,483,1,0,0,7,0,0,0,20,18,3,6,11,5,0,1,2,13,0,2,1,77,11,10,2,9,1,1,2,49,0,0,0,5,0,0,0,27,0,0,0,1,0,1,1443,17,129,2,40,0,0,0,0,0,0,0,0,,,,,,,,,1,1,,1,,2,8,13,16,64,5,5,4,13,,,4,27,,,,,,,,,,,,,2,14,,,,,,,,,,,,,,,,
